month_number,years,year_number,month_in_year,monthly_rent,cumulative_rent,cumulative_buying_costs,monthly_payment,monthly_interest,cumulative_principal_remaining,cumulative_equity,cumulative_payment,cumulative_interest,house_value,cumulative_appreciation,cumulative_depreceation,house_value_yearly,monthly_utilities,cumulative_utilities,monthly_property_tax,cumulative_property_tax,monthly_maintenance,cumulative_maintenance,cumulative_selling_costs
59,4.916666666666667,5,11,1653.39049597208,93028.31938608721,8000,1110.721078865162,704.6507988864557,168710.12145277066,31289.87854722934,65532.543653044566,44242.66510581573,2e5,0,-0,2e5,510,30090,833.3333333333334,49166.66666666667,510,30090,1e4
60,5,5,12,1656.1212048,94684.44059088721,8000,1110.721078865162,702.9588393865445,168302.35921329205,31697.640786707954,66643.26473190973,44945.62394520227,2e5,0,-0,2e5,510,30600,833.3333333333334,5e4,510,30600,1e4
61,5.083333333333333,6,1,1658.8564236155612,96343.29701450276,8000,1110.721078865162,701.2598300553835,167892.89796448225,32107.102035517746,67753.98581077489,45646.88377525765,2e5,0,-0,2e5,510,31110,833.3333333333334,50833.333333333336,510,31110,1e4
62,5.166666666666667,6,2,1661.596159867375,98004.89317437014,8000,1110.721078865162,699.553741518676,167481.73062713575,32518.269372864248,68864.70688964005,46346.43751677633,2e5,0,-0,2e5,510,31620,833.3333333333334,51666.66666666667,510,31620,1e4
63,5.25,6,3,1664.3404210163542,99669.2335953865,8000,1110.721078865162,697.8405442797323,167068.8500925503,32931.1499074497,69975.42796850522,47044.278061056066,2e5,0,-0,2e5,510,32130,833.3333333333334,52500,510,32130,1e4
64,5.333333333333333,6,4,1667.089214535735,101336.32280992223,8000,1110.721078865162,696.1202087189596,166654.2492224041,33345.75077759591,71086.14904737037,47740.398269775025,2e5,0,-0,2e5,510,32640,833.3333333333334,53333.333333333336,510,32640,1e4
65,5.416666666666667,6,5,1669.842547911095,103006.16535783332,8000,1110.721078865162,694.3927050933504,166237.92084863226,33762.07915136774,72196.87012623553,48434.790974868374,2e5,0,-0,2e5,510,33150,833.3333333333334,54166.66666666667,510,33150,1e4
66,5.5,6,6,1672.6004286403754,104678.7657864737,8000,1110.721078865162,692.6580035359677,165819.85777330305,34180.142226696946,73307.5912051007,49127.44897840434,2e5,0,-0,2e5,510,33660,833.3333333333334,55e3,510,33660,1e4
67,5.583333333333333,6,7,1675.3628642339017,106354.1286507076,8000,1110.721078865162,690.9160740554294,165400.0527684933,34599.947231506696,74418.31228396586,49818.36505245977,2e5,0,-0,2e5,510,34170,833.3333333333334,55833.333333333336,510,34170,1e4
68,5.666666666666667,6,8,1678.129862214402,108032.25851292201,8000,1110.721078865162,689.1668865353888,164978.49857616352,35021.50142383648,75529.03336283102,50507.53193899516,2e5,0,-0,2e5,510,34680,833.3333333333334,56666.66666666667,510,34680,1e4
